date,unprofitable,vagabond,vagrant,abundance,accrue
2011-11-16,0.0,178.75797549,33.3382275525,67.5750013488,10.9304404943
2011-11-17,0.0,122.896108149,37.5055059965,37.541667416,29.147841318
2011-11-18,0.0,163.861477532,16.6691137762,54.7035725204,19.431894212
2011-11-19,0.0,156.413228553,38.8945988112,30.0333339328,0.0
2011-11-20,0.0,227.171593851,45.8400628847,35.3964292779,3.64348016475
2011-11-21,0.0,178.75797549,43.0618772553,51.4857153134,15.7884140473
2011-11-22,2.02200647249,215.999220383,30.5600419231,56.8488106585,4.857973553
2011-11-23,0.0,182.482099979,29.1709491084,39.686905554,8.50145371775
2011-11-24,0.0,107.999610192,23.6145778497,37.541667416,7.2869603295
2011-11-25,0.0,152.689104064,11.1127425175,35.3964292779,0.0
2011-11-26,0.0,305.378208128,23.6145778497,11.7988097593,3.64348016475
2011-11-27,8.08802588997,163.861477532,61.1200838462,37.541667416,6.07246694125
2011-11-28,2.02200647249,160.137353043,38.8945988112,56.8488106585,18.2174008238
2011-11-29,2.02200647249,93.1031122342,43.0618772553,64.3571441417,9.715947106
2011-11-30,2.02200647249,167.585602022,23.6145778497,62.2119060036,13.3594272708
2011-12-01,4.04401294498,167.585602022,44.45097007,48.2678581063,13.3594272708
2011-12-02,2.02200647249,163.861477532,18.0582065909,42.9047627611,10.9304404943
2011-12-03,0.0,260.688714256,22.225485035,46.1226199682,9.715947106
2011-12-04,0.0,178.75797549,48.618248514,34.3238102089,6.07246694125
2011-12-05,0.0,148.964979575,29.1709491084,56.8488106585,7.2869603295
2011-12-06,2.02200647249,141.516730596,23.6145778497,62.2119060036,23.0753743768
2011-12-07,0.0,148.964979575,11.1127425175,52.5583343824,9.715947106
2011-12-08,0.0,96.8272367235,33.3382275525,74.010715763,13.3594272708
2011-12-09,0.0,148.964979575,27.7818562937,50.4130962443,19.431894212
2011-12-10,0.0,175.033851,36.1164131818,48.2678581063,6.07246694125
2011-12-11,3.03300970874,178.75797549,29.1709491084,31.1059530018,3.64348016475
2011-12-12,4.04401294498,134.068481617,36.1164131818,57.9214297275,18.2174008238
2011-12-13,2.02200647249,70.758365298,34.7273203672,77.22857297,23.0753743768
2011-12-14,2.02200647249,182.482099979,33.3382275525,43.9773818302,18.2174008238
2011-12-15,0.0,89.3789877448,30.5600419231,53.6309534514,10.9304404943
2011-12-16,2.02200647249,197.378597936,34.7273203672,28.9607148638,13.3594272708
2011-12-17,3.03300970874,152.689104064,30.5600419231,35.3964292779,3.64348016475
2011-12-18,0.0,115.44785917,30.5600419231,23.5976195186,9.715947106
2011-12-19,0.0,115.44785917,27.7818562937,35.3964292779,10.9304404943
2011-12-20,0.0,115.44785917,43.0618772553,31.1059530018,10.9304404943
