date,partnership,patron,patronage,precious,priceless
2011-09-30,71.0909970642,45.7233391816,8.08834302839,57.2240666589,9.24005817472
2011-10-01,45.2397254045,48.7715617937,6.47067442271,42.6579406003,7.39204653978
2011-10-02,39.8540438087,43.6911907735,9.70601163407,45.7792533271,7.39204653978
2011-10-03,78.6309512982,42.6751165695,6.47067442271,53.0623163564,5.54403490483
2011-10-04,88.3251781706,47.7554875896,4.85300581703,55.1431915077,5.54403490483
2011-10-05,82.9394965749,50.8037102017,4.85300581703,67.6284424151,6.4680407223
2011-10-06,86.1709055323,36.5786713453,6.47067442271,64.5071296882,5.54403490483
2011-10-07,60.3196338726,40.6429681614,6.47067442271,48.900566054,8.31605235725
2011-10-08,52.7796796386,41.6590423654,1.61766860568,54.1027539321,6.4680407223
2011-10-09,57.0882249152,46.7394133856,3.23533721136,55.1431915077,7.39204653978
2011-10-10,91.5565871281,46.7394133856,4.85300581703,56.1836290833,6.4680407223
2011-10-11,105.559359277,52.8358586098,4.85300581703,62.426254537,6.4680407223
2011-10-12,95.8651324047,52.8358586098,8.08834302839,64.5071296882,5.54403490483
2011-10-13,85.0937692132,46.7394133856,6.47067442271,58.2645042345,4.62002908736
2011-10-14,71.0909970642,43.6911907735,6.47067442271,52.0218787808,7.39204653978
2011-10-15,47.3939980428,49.7876359977,1.61766860568,62.426254537,7.39204653978
2011-10-16,43.0854527662,57.91622963,3.23533721136,55.1431915077,12.0120756271
2011-10-17,81.8623602557,49.7876359977,11.3236802397,60.3453793858,7.39204653978
2011-10-18,94.7879960856,49.7876359977,8.08834302839,59.3049418101,5.54403490483
2011-10-19,93.7108597664,52.8358586098,4.85300581703,52.0218787808,5.54403490483
2011-10-20,76.4766786599,44.7072649775,4.85300581703,66.5880048395,8.31605235725
2011-10-21,79.7080876174,59.9483780381,4.85300581703,67.6284424151,9.24005817472
2011-10-22,49.5482706811,55.8840812219,3.23533721136,59.3049418101,3.69602326989
2011-10-23,46.3168617236,60.9644522421,4.85300581703,52.0218787808,2.77201745242
2011-10-24,78.6309512982,51.8197844058,11.3236802397,59.3049418101,4.62002908736
2011-10-25,86.1709055323,47.7554875896,6.47067442271,65.5475672638,7.39204653978
2011-10-26,81.8623602557,62.9966006502,8.08834302839,69.7093175663,8.31605235725
2011-10-27,76.4766786599,57.91622963,9.70601163407,53.0623163564,5.54403490483
2011-10-28,65.7053154684,69.0930458744,8.08834302839,57.2240666589,9.24005817472
2011-10-29,50.6254070002,58.932303834,1.61766860568,63.4666921126,6.4680407223
2011-10-30,53.8568159577,58.932303834,4.85300581703,53.0623163564,5.54403490483
2011-10-31,89.4023144898,54.8680070179,9.70601163407,58.2645042345,4.62002908736
2011-11-01,84.016632894,73.1573426905,8.08834302839,62.426254537,8.31605235725
2011-11-02,80.7852239366,64.0126748542,8.08834302839,57.2240666589,6.4680407223
2011-11-03,85.0937692132,56.900155426,4.85300581703,60.3453793858,10.1640639922
2011-11-04,77.5538149791,52.8358586098,8.08834302839,64.5071296882,10.1640639922
2011-11-05,54.9339522769,53.8519328139,1.61766860568,63.4666921126,9.24005817472
2011-11-06,45.2397254045,55.8840812219,6.47067442271,65.5475672638,7.39204653978
2011-11-07,91.5565871281,53.8519328139,8.08834302839,53.0623163564,6.4680407223
2011-11-08,89.4023144898,45.7233391816,6.47067442271,55.1431915077,7.39204653978
2011-11-09,81.8623602557,58.932303834,9.70601163407,55.1431915077,4.62002908736
2011-11-10,77.5538149791,54.8680070179,3.23533721136,55.1431915077,9.24005817472
2011-11-11,65.7053154684,46.7394133856,6.47067442271,61.3858169614,7.39204653978
2011-11-12,43.0854527662,55.8840812219,1.61766860568,52.0218787808,8.31605235725
2011-11-13,59.2424975535,59.9483780381,4.85300581703,55.1431915077,5.54403490483
2011-11-14,92.6337234473,49.7876359977,8.08834302839,58.2645042345,5.54403490483
2011-11-15,95.8651324047,48.7715617937,6.47067442271,47.8601284784,7.39204653978
2011-11-16,96.9422687239,44.7072649775,8.08834302839,59.3049418101,8.31605235725
2011-11-17,81.8623602557,41.6590423654,6.47067442271,62.426254537,8.31605235725
2011-11-18,67.8595881067,45.7233391816,3.23533721136,57.2240666589,5.54403490483
2011-11-19,35.5454985321,58.932303834,1.61766860568,61.3858169614,6.4680407223
2011-11-20,48.4711343619,56.900155426,3.23533721136,59.3049418101,4.62002908736
2011-11-21,78.6309512982,41.6590423654,6.47067442271,64.5071296882,6.4680407223
2011-11-22,74.3224060216,47.7554875896,4.85300581703,62.426254537,6.4680407223
2011-11-23,63.5510428301,49.7876359977,6.47067442271,61.3858169614,6.4680407223
2011-11-24,32.3140895746,50.8037102017,1.61766860568,46.8196909027,12.0120756271
2011-11-25,22.6198627022,39.6268939574,1.61766860568,57.2240666589,5.54403490483
2011-11-26,40.9311801279,49.7876359977,3.23533721136,78.0328181712,6.4680407223
2011-11-27,45.2397254045,46.7394133856,8.08834302839,73.8710678688,7.39204653978
2011-11-28,71.0909970642,41.6590423654,6.47067442271,66.5880048395,6.4680407223
2011-11-29,91.5565871281,37.5947455493,4.85300581703,70.7497551419,4.62002908736
2011-11-30,79.7080876174,45.7233391816,6.47067442271,60.3453793858,5.54403490483
2011-12-01,81.8623602557,43.6911907735,6.47067442271,76.9923805956,7.39204653978
2011-12-02,65.7053154684,46.7394133856,3.23533721136,72.8306302932,3.69602326989
2011-12-03,48.4711343619,56.900155426,1.61766860568,69.7093175663,7.39204653978
2011-12-04,43.0854527662,64.0126748542,3.23533721136,66.5880048395,6.4680407223
2011-12-05,85.0937692132,43.6911907735,9.70601163407,68.6688799907,6.4680407223
2011-12-06,88.3251781706,58.932303834,8.08834302839,54.1027539321,7.39204653978
2011-12-07,88.3251781706,47.7554875896,4.85300581703,63.4666921126,7.39204653978
2011-12-08,82.9394965749,57.91622963,4.85300581703,56.1836290833,7.39204653978
2011-12-09,79.7080876174,46.7394133856,8.08834302839,67.6284424151,5.54403490483
2011-12-10,47.3939980428,48.7715617937,4.85300581703,66.5880048395,7.39204653978
2011-12-11,54.9339522769,48.7715617937,4.85300581703,69.7093175663,4.62002908736
2011-12-12,86.1709055323,49.7876359977,9.70601163407,72.8306302932,3.69602326989
2011-12-13,85.0937692132,41.6590423654,8.08834302839,63.4666921126,10.1640639922
2011-12-14,74.3224060216,52.8358586098,8.08834302839,70.7497551419,7.39204653978
2011-12-15,74.3224060216,48.7715617937,6.47067442271,66.5880048395,8.31605235725
2011-12-16,65.7053154684,61.9805264461,3.23533721136,65.5475672638,10.1640639922
2011-12-17,43.0854527662,62.9966006502,3.23533721136,69.7093175663,3.69602326989
2011-12-18,36.6226348512,55.8840812219,3.23533721136,68.6688799907,3.69602326989
2011-12-19,59.2424975535,50.8037102017,4.85300581703,64.5071296882,5.54403490483
2011-12-20,64.6281791492,49.7876359977,4.85300581703,58.2645042345,8.31605235725
2011-12-21,65.7053154684,58.932303834,1.61766860568,59.3049418101,9.24005817472
2011-12-22,53.8568159577,46.7394133856,3.23533721136,64.5071296882,7.39204653978
2011-12-23,53.8568159577,60.9644522421,3.23533721136,60.3453793858,8.31605235725
2011-12-24,19.3884537448,44.7072649775,1.61766860568,66.5880048395,9.24005817472
2011-12-25,18.3113174256,59.9483780381,0.0,66.5880048395,8.31605235725
2011-12-26,28.005544298,53.8519328139,3.23533721136,64.5071296882,3.69602326989
2011-12-27,50.6254070002,46.7394133856,0.0,69.7093175663,5.54403490483
2011-12-28,60.3196338726,44.7072649775,0.0,64.5071296882,5.54403490483
2011-12-29,65.7053154684,55.8840812219,3.23533721136,63.4666921126,7.39204653978
2011-12-30,50.6254070002,57.91622963,1.61766860568,67.6284424151,8.31605235725
2011-12-31,35.5454985321,76.2055653026,1.61766860568,62.426254537,6.4680407223
2012-01-01,31.2369532555,85.3502331389,1.61766860568,62.426254537,5.54403490483
2012-01-02,49.5482706811,44.7072649775,9.70601163407,64.5071296882,4.62002908736
2012-01-03,77.5538149791,40.6429681614,1.61766860568,66.5880048395,4.62002908736
2012-01-04,70.013860745,38.6108197533,3.23533721136,60.3453793858,5.54403490483
2012-01-05,75.3995423408,44.7072649775,1.61766860568,63.4666921126,5.54403490483
2012-01-06,76.4766786599,46.7394133856,3.23533721136,60.3453793858,7.39204653978
2012-01-07,48.4711343619,49.7876359977,3.23533721136,69.7093175663,8.31605235725
2012-01-08,35.5454985321,57.91622963,4.85300581703,66.5880048395,3.69602326989
2012-01-09,67.8595881067,39.6268939574,8.08834302839,60.3453793858,6.4680407223
2012-01-10,93.7108597664,39.6268939574,4.85300581703,52.0218787808,8.31605235725
2012-01-11,81.8623602557,42.6751165695,6.47067442271,66.5880048395,6.4680407223
2012-01-12,78.6309512982,46.7394133856,6.47067442271,54.1027539321,6.4680407223
2012-01-13,70.013860745,50.8037102017,1.61766860568,61.3858169614,6.4680407223
2012-01-14,36.6226348512,52.8358586098,3.23533721136,62.426254537,4.62002908736
2012-01-15,34.4683622129,56.900155426,3.23533721136,56.1836290833,3.69602326989
2012-01-16,63.5510428301,48.7715617937,6.47067442271,46.8196909027,5.54403490483
2012-01-17,84.016632894,43.6911907735,3.23533721136,60.3453793858,4.62002908736
2012-01-18,81.8623602557,43.6911907735,8.08834302839,65.5475672638,6.4680407223
2012-01-19,77.5538149791,46.7394133856,6.47067442271,58.2645042345,3.69602326989
2012-01-20,87.2480418515,42.6751165695,8.08834302839,48.900566054,7.39204653978
2012-01-21,45.2397254045,52.8358586098,3.23533721136,65.5475672638,5.54403490483
