date,expense,expensive,fine,ghetto,intervention
2008-06-16,18.3990914258,38.0248897554,102.116034915,20.9561881927,38.9551997109
2008-06-17,18.3990914258,32.3915727546,95.5701352414,29.5852068603,36.1726854458
2008-06-18,15.3325761882,29.5749142542,108.66193459,32.0506407653,26.4338855181
2008-06-19,16.865833807,35.208231255,96.8793151762,27.1197729552,22.2601141205
2008-06-20,13.7993185694,36.6165605052,99.4976750458,27.1197729552,18.0863427229
2008-06-21,6.13303047527,33.7999020048,102.116034915,33.2833577178,15.3038284578
2008-06-22,9.1995457129,46.4748652566,106.04357472,28.3524899077,15.3038284578
2008-06-23,13.7993185694,32.3915727546,89.0242355673,27.1197729552,30.6076569157
2008-06-24,15.3325761882,33.7999020048,91.6425954369,20.9561881927,36.1726854458
2008-06-25,12.2660609505,32.3915727546,90.3334155021,28.3524899077,23.651371253
2008-06-26,7.66628809409,26.7582557538,96.8793151762,20.9561881927,20.868856988
2008-06-27,10.7328033317,40.8415482558,104.734394785,24.6543390502,20.868856988
2008-06-28,12.2660609505,33.7999020048,108.66193459,28.3524899077,13.9125713253
2008-06-29,10.7328033317,40.8415482558,116.517014198,28.3524899077,16.6950855904
2008-06-30,13.7993185694,30.9832435044,106.04357472,24.6543390502,19.4775998554
2008-07-01,10.7328033317,30.9832435044,99.4976750458,32.0506407653,33.3901711808
2008-07-02,18.3990914258,35.208231255,95.5701352414,25.8870560027,19.4775998554
2008-07-03,18.3990914258,25.3499265036,94.2609553066,28.3524899077,18.0863427229
2008-07-04,6.13303047527,26.7582557538,99.4976750458,19.7234712402,8.34754279519
2008-07-05,6.13303047527,30.9832435044,104.734394785,25.8870560027,16.6950855904
2008-07-06,10.7328033317,40.8415482558,117.826194133,30.8179238128,16.6950855904
2008-07-07,19.9323490446,36.6165605052,96.8793151762,29.5852068603,23.651371253
2008-07-08,19.9323490446,32.3915727546,103.42521485,22.1889051452,30.6076569157
2008-07-09,13.7993185694,32.3915727546,106.04357472,27.1197729552,22.2601141205
2008-07-10,18.3990914258,30.9832435044,112.589474394,23.4216220977,20.868856988
2008-07-11,13.7993185694,39.4332190056,95.5701352414,23.4216220977,13.9125713253
2008-07-12,9.1995457129,32.3915727546,104.734394785,32.0506407653,9.73879992772
2008-07-13,13.7993185694,40.8415482558,112.589474394,20.9561881927,41.7377139759
2008-07-14,18.3990914258,29.5749142542,98.188495111,22.1889051452,36.1726854458
2008-07-15,16.865833807,32.3915727546,115.207834264,32.0506407653,41.7377139759
2008-07-16,12.2660609505,35.208231255,91.6425954369,28.3524899077,27.8251426506
2008-07-17,16.865833807,38.0248897554,91.6425954369,27.1197729552,23.651371253
2008-07-18,15.3325761882,42.249877506,78.5507960888,29.5852068603,15.3038284578
2008-07-19,6.13303047527,32.3915727546,90.3334155021,25.8870560027,12.5213141928
2008-07-20,12.2660609505,43.6582067562,104.734394785,27.1197729552,29.2163997832
2008-07-21,12.2660609505,32.3915727546,92.9517753717,20.9561881927,40.3464568434
2008-07-22,19.9323490446,35.208231255,109.971114524,20.9561881927,40.3464568434
2008-07-23,16.865833807,30.9832435044,96.8793151762,27.1197729552,25.0426283856
2008-07-24,15.3325761882,36.6165605052,98.188495111,18.4907542877,22.2601141205
2008-07-25,16.865833807,40.8415482558,100.806854981,20.9561881927,19.4775998554
2008-07-26,7.66628809409,61.9664870087,130.917993481,33.2833577178,19.4775998554
2008-07-27,10.7328033317,38.0248897554,107.352754655,34.5160746703,16.6950855904
2008-07-28,18.3990914258,29.5749142542,94.2609553066,20.9561881927,26.4338855181
2008-07-29,12.2660609505,30.9832435044,99.4976750458,20.9561881927,31.9989140482
2008-07-30,13.7993185694,49.291523757,103.42521485,30.8179238128,26.4338855181
2008-07-31,16.865833807,47.8831945068,98.188495111,20.9561881927,19.4775998554
2008-08-01,16.865833807,40.8415482558,102.116034915,20.9561881927,20.868856988
2008-08-02,12.2660609505,39.4332190056,91.6425954369,28.3524899077,11.1300570603
2008-08-03,9.1995457129,39.4332190056,107.352754655,27.1197729552,18.0863427229
2008-08-04,19.9323490446,33.7999020048,102.116034915,20.9561881927,23.651371253
2008-08-05,15.3325761882,35.208231255,103.42521485,27.1197729552,31.9989140482
2008-08-06,12.2660609505,28.166585004,98.188495111,24.6543390502,18.0863427229
2008-08-07,15.3325761882,30.9832435044,96.8793151762,20.9561881927,18.0863427229
2008-08-08,12.2660609505,30.9832435044,89.0242355673,28.3524899077,18.0863427229
2008-08-09,9.1995457129,39.4332190056,90.3334155021,25.8870560027,19.4775998554
2008-08-10,10.7328033317,39.4332190056,99.4976750458,24.6543390502,20.868856988
2008-08-11,18.3990914258,38.0248897554,94.2609553066,22.1889051452,23.651371253
2008-08-12,9.1995457129,29.5749142542,90.3334155021,19.7234712402,51.4765139037
2008-08-13,18.3990914258,26.7582557538,87.7150556325,17.2580373351,27.8251426506
2008-08-14,19.9323490446,23.9415972534,103.42521485,27.1197729552,34.7814283133
2008-08-15,9.1995457129,33.7999020048,90.3334155021,22.1889051452,18.0863427229
2008-08-16,9.1995457129,26.7582557538,113.898654329,24.6543390502,12.5213141928
2008-08-17,9.1995457129,38.0248897554,99.4976750458,19.7234712402,12.5213141928
2008-08-18,10.7328033317,22.5332680032,103.42521485,16.0253203826,25.0426283856
2008-08-19,12.2660609505,26.7582557538,111.280294459,20.9561881927,33.3901711808
2008-08-20,18.3990914258,32.3915727546,99.4976750458,18.4907542877,30.6076569157
2008-08-21,15.3325761882,30.9832435044,103.42521485,19.7234712402,19.4775998554
2008-08-22,12.2660609505,33.7999020048,91.6425954369,20.9561881927,22.2601141205
2008-08-23,12.2660609505,35.208231255,102.116034915,29.5852068603,18.0863427229
2008-08-24,13.7993185694,25.3499265036,94.2609553066,25.8870560027,20.868856988
2008-08-25,16.865833807,30.9832435044,113.898654329,22.1889051452,19.4775998554
2008-08-26,13.7993185694,29.5749142542,100.806854981,14.7926034301,34.7814283133
2008-08-27,13.7993185694,29.5749142542,95.5701352414,23.4216220977,30.6076569157
2008-08-28,22.9988642823,26.7582557538,95.5701352414,29.5852068603,30.6076569157
2008-08-29,7.66628809409,36.6165605052,86.4058756977,23.4216220977,16.6950855904
2008-08-30,6.13303047527,29.5749142542,94.2609553066,30.8179238128,19.4775998554
2008-08-31,4.59977285645,32.3915727546,103.42521485,40.6796594329,16.6950855904
2008-09-01,12.2660609505,33.7999020048,100.806854981,29.5852068603,13.9125713253
2008-09-02,18.3990914258,21.124938753,108.66193459,17.2580373351,27.8251426506
2008-09-03,16.865833807,30.9832435044,96.8793151762,20.9561881927,23.651371253
2008-09-04,13.7993185694,25.3499265036,92.9517753717,19.7234712402,25.0426283856
2008-09-05,19.9323490446,32.3915727546,92.9517753717,19.7234712402,16.6950855904
2008-09-06,7.66628809409,38.0248897554,94.2609553066,34.5160746703,19.4775998554
2008-09-07,10.7328033317,36.6165605052,107.352754655,23.4216220977,20.868856988
2008-09-08,16.865833807,40.8415482558,89.0242355673,18.4907542877,30.6076569157
2008-09-09,19.9323490446,35.208231255,95.5701352414,20.9561881927,41.7377139759
2008-09-10,15.3325761882,32.3915727546,87.7150556325,20.9561881927,27.8251426506
2008-09-11,18.3990914258,39.4332190056,95.5701352414,20.9561881927,23.651371253
2008-09-12,12.2660609505,38.0248897554,95.5701352414,19.7234712402,23.651371253
2008-09-13,12.2660609505,35.208231255,104.734394785,29.5852068603,12.5213141928
2008-09-14,9.1995457129,47.8831945068,103.42521485,28.3524899077,23.651371253
2008-09-15,18.3990914258,30.9832435044,95.5701352414,19.7234712402,22.2601141205
2008-09-16,16.865833807,29.5749142542,92.9517753717,20.9561881927,43.1289711085
2008-09-17,12.2660609505,29.5749142542,95.5701352414,19.7234712402,34.7814283133
2008-09-18,13.7993185694,36.6165605052,99.4976750458,24.6543390502,29.2163997832
2008-09-19,13.7993185694,30.9832435044,119.135374068,27.1197729552,29.2163997832
2008-09-20,9.1995457129,32.3915727546,100.806854981,27.1197729552,19.4775998554
