date,poverty,recession,crisis,bonus,entrepreneurial
2005-02-03,92.422928265,6.0,98.6059353428,38.5377094254,5.66015247248
2005-02-04,64.6960497855,0.0,59.719087602,25.2488441063,9.43358745414
2005-02-05,55.453756959,0.0,49.9973756668,34.5510498297,5.66015247248
2005-02-06,55.453756959,5.0,43.0532957131,47.8399151488,5.66015247248
2005-02-07,77.0191068875,8.0,73.6072475094,33.2221632978,5.66015247248
2005-02-08,75.4787247497,0.0,86.1065914261,34.5510498297,5.66015247248
2005-02-09,55.453756959,6.0,54.163823639,47.8399151488,5.66015247248
2005-02-10,84.7210175762,5.0,79.1625114724,31.8932767659,0.0
2005-02-11,70.8575783365,0.0,69.4407995372,50.4976882126,0.0
2005-02-12,23.1057320662,3.0,52.7750076483,74.417645787,5.66015247248
2005-02-13,56.9941390967,2.0,74.9960635002,38.5377094254,3.77343498166
2005-02-14,56.9941390967,3.0,79.1625114724,35.8799363616,0.0
2005-02-15,44.6710819947,2.0,73.6072475094,43.8532555531,3.77343498166
2005-02-16,75.4787247497,7.0,83.3289594446,51.8265747445,5.66015247248
2005-02-17,77.0191068875,1.0,81.9401434539,47.8399151488,0.0
2005-02-18,49.292228408,6.0,41.6644797223,39.8665959573,5.66015247248
2005-02-19,38.5095534437,2.0,76.3848794909,33.2221632978,0.0
2005-02-20,66.2364319232,8.0,63.8855355742,63.7865535317,5.66015247248
2005-02-21,46.2114641325,3.0,66.6631675557,37.2088228935,3.77343498166
2005-02-22,70.8575783365,4.0,55.5526396297,46.5110286169,1.88671749083
2005-02-23,60.0749033722,4.0,68.0519835464,47.8399151488,5.66015247248
2005-02-24,67.776814061,1.0,59.719087602,65.1154400637,0.0
2005-02-25,73.938342612,0.0,66.6631675557,47.8399151488,0.0
2005-02-26,61.61528551,0.0,36.1092157593,53.1554612765,13.2070224358
2005-02-27,72.3979604742,0.0,79.1625114724,47.8399151488,0.0
2005-02-28,92.422928265,1.0,81.9401434539,41.1954824893,7.54686996331
