date,squander,tariff,underworld,uneconomical,unemployed
2004-10-15,0.0,14.6930166435,27.7377552463,0.0,3.08197414716
2004-10-16,0.0,14.6930166435,22.9137978121,0.0,4.62296122074
2004-10-17,0.0,0.0,102.509095475,0.0,0.0
2004-10-18,0.0,5.41321665812,33.7677020389,0.0,10.7869095151
2004-10-19,0.0,18.5595999707,45.8275956242,0.0,13.0983901254
2004-10-20,0.0,5.41321665812,42.2096275486,0.0,10.7869095151
2004-10-21,0.0,21.6528666325,42.2096275486,0.0,5.39345475753
2004-10-22,0.0,20.879549967,32.5617126804,0.0,8.47542890469
2004-10-23,0.0,0.0,21.7078084536,0.0,4.62296122074
2004-10-24,0.0,0.0,63.9174360022,0.0,0.0
2004-10-25,0.0,10.8264333162,37.3856701145,0.0,0.0
2004-10-26,0.0,23.1994999634,3.6179680756,0.0,5.39345475753
2004-10-27,0.0,2.31994999634,41.0036381901,0.0,7.7049353679
2004-10-28,0.0,13.919699978,50.6515530584,0.0,3.08197414716
2004-10-29,0.0,0.0,56.681499851,0.0,12.3278965886
2004-10-30,0.0,0.0,43.4156169072,0.0,13.8688836622
2004-10-31,0.0,4.63989999267,30.1497339633,0.0,4.62296122074
2004-11-01,0.0,19.3329166361,30.1497339633,0.0,8.47542890469
2004-11-02,0.0,7.73316665445,31.3557233219,0.0,12.3278965886
2004-11-03,0.0,13.1463833126,24.1197871707,0.0,0.0
2004-11-04,0.0,16.2396499743,37.3856701145,0.0,5.39345475753
2004-11-05,0.0,14.6930166435,36.179680756,0.0,11.5574030519
2004-11-06,0.0,4.63989999267,50.6515530584,0.0,9.24592244148
2004-11-07,0.0,4.63989999267,21.7078084536,0.0,4.62296122074
2004-11-08,0.0,20.879549967,48.2395743413,0.0,10.0164159783
2004-11-09,0.0,0.0,0.0,0.0,0.0
2004-11-10,0.0,17.7862833052,10.8539042268,0.0,0.0
2004-11-11,0.0,13.919699978,13.2658829439,0.0,3.08197414716
2004-11-12,0.0,13.919699978,39.7976488316,0.0,5.39345475753
2004-11-13,0.0,4.63989999267,77.1833189461,0.0,4.62296122074
2004-11-14,0.0,13.1463833126,20.5018190951,0.0,0.0
2004-11-15,0.0,2.31994999634,20.5018190951,0.0,2.31148061037
2004-11-16,0.0,23.1994999634,15.6778616609,0.0,5.39345475753
2004-11-17,0.0,13.1463833126,41.0036381901,0.0,7.7049353679
2004-11-18,0.0,18.5595999707,28.9437446048,0.0,5.39345475753
2004-11-19,0.0,28.6127166215,120.598935853,0.0,9.24592244148
2004-11-20,0.0,20.879549967,10.8539042268,0.0,0.0
2004-11-21,0.0,4.63989999267,41.0036381901,0.0,4.62296122074
2004-11-22,0.0,34.0259332796,20.5018190951,0.0,7.7049353679
2004-11-23,0.0,10.8264333162,12.0598935853,0.0,5.39345475753
2004-11-24,0.0,6.18653332356,14.4718723024,0.0,3.08197414716
2004-11-25,0.0,10.0531166508,55.4755104925,0.0,5.39345475753
2004-11-26,0.0,4.63989999267,49.4455636998,0.0,0.0
2004-11-27,0.0,13.919699978,30.1497339633,0.0,9.24592244148
2004-11-28,0.0,0.0,33.7677020389,0.0,0.0
2004-11-29,0.0,7.73316665445,31.3557233219,0.0,7.7049353679
2004-11-30,0.0,12.3730666471,56.681499851,0.0,2.31148061037
2004-12-01,0.0,30.1593499524,24.1197871707,0.0,2.31148061037
2004-12-02,0.0,20.1062333016,15.6778616609,0.0,7.7049353679
2004-12-03,0.0,10.8264333162,25.3257765292,0.0,0.0
2004-12-04,0.0,4.63989999267,26.5317658877,0.0,0.0
2004-12-05,0.0,20.879549967,32.5617126804,0.0,8.47542890469
2004-12-06,0.0,14.6930166435,30.1497339633,0.0,0.0
2004-12-07,0.0,16.2396499743,37.3856701145,0.0,9.24592244148
2004-12-08,0.0,12.3730666471,39.7976488316,0.0,2.31148061037
2004-12-09,0.0,10.0531166508,42.2096275486,0.0,7.7049353679
2004-12-10,0.0,18.5595999707,28.9437446048,0.0,7.7049353679
2004-12-11,0.0,8.5064833199,26.5317658877,0.0,12.3278965886
2004-12-12,0.0,8.5064833199,53.0635317754,0.0,4.62296122074
2004-12-13,0.0,14.6930166435,27.7377552463,0.0,7.7049353679
2004-12-14,0.0,17.0129666398,42.2096275486,0.0,2.31148061037
2004-12-15,0.0,10.8264333162,24.1197871707,0.0,7.7049353679
2004-12-16,0.0,7.73316665445,28.9437446048,0.0,13.0983901254
2004-12-17,0.0,20.1062333016,41.0036381901,0.0,3.08197414716
2004-12-18,0.0,0.0,28.9437446048,0.0,0.0
2004-12-19,0.0,4.63989999267,37.3856701145,0.0,4.62296122074
2004-12-20,0.0,8.5064833199,21.7078084536,0.0,3.08197414716
2004-12-21,0.0,22.4261832979,8.44192550973,0.0,5.39345475753
2004-12-22,0.0,18.5595999707,28.9437446048,0.0,3.08197414716
2004-12-23,0.0,10.8264333162,16.8838510195,0.0,6.93444183111
2004-12-24,0.0,4.63989999267,47.0335849828,0.0,0.0
2004-12-25,0.0,0.0,42.2096275486,0.0,0.0
2004-12-26,0.0,0.0,8.44192550973,0.0,11.5574030519
2004-12-27,0.0,13.919699978,48.2395743413,0.0,6.93444183111
2004-12-28,0.0,6.18653332356,14.4718723024,0.0,6.16394829432
2004-12-29,0.0,6.18653332356,9.64791486826,0.0,3.08197414716
2004-12-30,0.0,9.27979998534,39.7976488316,0.0,3.08197414716
2004-12-31,0.0,0.0,13.2658829439,0.0,8.47542890469
2005-01-01,0.0,7.73316665445,57.8874892096,0.0,7.7049353679
2005-01-02,0.0,8.5064833199,39.7976488316,0.0,0.0
2005-01-03,0.0,7.73316665445,15.6778616609,0.0,10.0164159783
2005-01-04,0.0,10.0531166508,19.2958297365,0.0,12.3278965886
2005-01-05,0.0,12.3730666471,12.0598935853,0.0,4.62296122074
2005-01-06,0.0,12.3730666471,27.7377552463,0.0,10.0164159783
2005-01-07,0.0,5.41321665812,24.1197871707,0.0,5.39345475753
2005-01-08,0.0,3.86658332723,37.3856701145,0.0,3.85246768395
2005-01-09,0.0,0.0,43.4156169072,0.0,7.7049353679
2005-01-10,0.0,12.3730666471,30.1497339633,0.0,2.31148061037
2005-01-11,0.0,13.919699978,33.7677020389,0.0,4.62296122074
2005-01-12,0.0,14.6930166435,26.5317658877,0.0,4.62296122074
2005-01-13,0.0,14.6930166435,10.8539042268,0.0,0.0
2005-01-14,0.0,15.4663333089,8.44192550973,0.0,7.7049353679
2005-01-15,0.0,0.0,25.3257765292,0.0,7.7049353679
2005-01-16,0.0,8.5064833199,31.3557233219,0.0,3.85246768395
2005-01-17,0.0,24.7461332942,43.4156169072,0.0,5.39345475753
2005-01-18,0.0,6.95984998901,18.089840378,0.0,6.93444183111
2005-01-19,0.0,17.0129666398,26.5317658877,0.0,6.93444183111
2005-01-20,0.0,17.0129666398,30.1497339633,0.0,4.62296122074
2005-01-21,0.0,14.6930166435,38.591659473,0.0,4.62296122074
2005-01-22,0.0,15.4663333089,53.0635317754,0.0,0.0
2005-01-23,0.0,7.73316665445,47.0335849828,0.0,7.7049353679
2005-01-24,0.0,17.0129666398,37.3856701145,0.0,4.62296122074
2005-01-25,0.0,20.879549967,18.089840378,0.0,6.93444183111
2005-01-26,0.0,23.1994999634,21.7078084536,0.0,11.5574030519
2005-01-27,0.0,19.3329166361,3.6179680756,0.0,4.62296122074
2005-01-28,0.0,12.3730666471,3.6179680756,0.0,2.31148061037
2005-01-29,0.0,7.73316665445,30.1497339633,0.0,7.7049353679
2005-01-30,0.0,11.5997499817,53.0635317754,0.0,0.0
2005-01-31,0.0,16.2396499743,25.3257765292,0.0,4.62296122074
2005-02-01,0.0,22.4261832979,18.089840378,0.0,6.93444183111
2005-02-02,0.0,6.95984998901,14.4718723024,0.0,4.62296122074
2005-02-03,0.0,13.919699978,18.089840378,0.0,6.93444183111
2005-02-04,0.0,12.3730666471,34.9736913975,0.0,0.0
2005-02-05,0.0,11.5997499817,36.179680756,0.0,3.85246768395
2005-02-06,0.0,0.0,49.4455636998,0.0,0.0
2005-02-07,0.0,14.6930166435,48.2395743413,0.0,6.93444183111
