date,radical,ruin,segregation,shortage,steal
2012-07-16,48.892088232,39.109928985,28.006589814,74.6525274903,87.8293863877
2012-07-17,41.5582749972,41.717257584,22.4052718512,69.3202040981,75.2823311895
2012-07-18,36.669066174,49.5392433811,28.006589814,58.6555573138,80.3011532688
2012-07-19,39.1136705856,41.717257584,28.006589814,58.6555573138,87.8293863877
2012-07-20,48.892088232,49.5392433811,22.4052718512,37.3262637451,70.2635091102
2012-07-21,39.1136705856,36.502600386,16.8039538884,53.3232339216,95.3576195067
2012-07-22,31.7798573508,52.1465719801,16.8039538884,58.6555573138,82.8105643084
2012-07-23,39.1136705856,28.680614589,22.4052718512,58.6555573138,75.2823311895
2012-07-24,46.4474838204,41.717257584,28.006589814,47.9909105295,77.7917422291
2012-07-25,48.892088232,44.324586183,16.8039538884,85.3171742746,77.7917422291
2012-07-26,46.4474838204,41.717257584,22.4052718512,53.3232339216,72.7729201498
2012-07-27,39.1136705856,31.287943188,16.8039538884,53.3232339216,82.8105643084
2012-07-28,31.7798573508,39.109928985,16.8039538884,63.9878807059,85.3199753481
2012-07-29,36.669066174,36.502600386,16.8039538884,63.9878807059,90.3387974274
2012-07-30,44.0028794088,28.680614589,16.8039538884,74.6525274903,72.7729201498
2012-07-31,44.0028794088,33.895271787,16.8039538884,74.6525274903,72.7729201498
2012-08-01,41.5582749972,28.680614589,22.4052718512,63.9878807059,80.3011532688
2012-08-02,39.1136705856,36.502600386,33.6079077768,58.6555573138,87.8293863877
2012-08-03,39.1136705856,33.895271787,11.2026359256,42.6585871373,72.7729201498
2012-08-04,39.1136705856,36.502600386,11.2026359256,53.3232339216,65.2446870309
2012-08-05,36.669066174,46.9319147821,11.2026359256,47.9909105295,77.7917422291
2012-08-06,39.1136705856,31.287943188,16.8039538884,69.3202040981,62.7352759912
2012-08-07,46.4474838204,39.109928985,22.4052718512,37.3262637451,75.2823311895
2012-08-08,31.7798573508,28.680614589,16.8039538884,69.3202040981,77.7917422291
2012-08-09,34.2244617624,36.502600386,16.8039538884,58.6555573138,72.7729201498
2012-08-10,31.7798573508,41.717257584,16.8039538884,53.3232339216,77.7917422291
2012-08-11,29.3352529392,36.502600386,5.60131796281,42.6585871373,80.3011532688
2012-08-12,41.5582749972,44.324586183,16.8039538884,47.9909105295,92.848208467
2012-08-13,34.2244617624,41.717257584,16.8039538884,63.9878807059,85.3199753481
2012-08-14,39.1136705856,39.109928985,16.8039538884,74.6525274903,80.3011532688
2012-08-15,34.2244617624,28.680614589,16.8039538884,74.6525274903,75.2823311895
2012-08-16,44.0028794088,36.502600386,5.60131796281,74.6525274903,85.3199753481
2012-08-17,41.5582749972,36.502600386,5.60131796281,69.3202040981,77.7917422291
2012-08-18,36.669066174,36.502600386,11.2026359256,42.6585871373,85.3199753481
2012-08-19,39.1136705856,39.109928985,22.4052718512,63.9878807059,87.8293863877
2012-08-20,48.892088232,31.287943188,11.2026359256,53.3232339216,70.2635091102
2012-08-21,39.1136705856,31.287943188,16.8039538884,58.6555573138,80.3011532688
2012-08-22,53.7812970553,28.680614589,28.006589814,69.3202040981,75.2823311895
2012-08-23,56.2259014669,31.287943188,22.4052718512,69.3202040981,75.2823311895
2012-08-24,46.4474838204,44.324586183,22.4052718512,79.9848508824,67.7540980705
